Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
2013,3.382433746657753,2,275.3970642089844,290.3208923339844,294.72979736328125,297.4129943847656,298.4497375488281,295.2565002441406,282.6629943847656,49,15,10,12,18,2,5,0.1928632786366718,-0.0138337951822715,0.3210161673764489,0.3629770153256486,0.2789633519480227,0.3046251962786492,0.1636476434716084,2.0,1.0
2014,-1.8268152292428539,2,281.30120849609375,290.6258850097656,294.2912902832031,297.6087951660156,298.3832702636719,292.77728271484375,286.39666748046875,45,3,7,14,15,5,4,0.4996524119127672,0.1698528288486885,0.41118506213901,-0.251673527206728,0.4424027181037894,0.152802828856928,-0.2309575949863826,2.0,1.0
2015,-1.8874830641228257,2,285.9344482421875,290.70587158203125,297.4808044433594,299.6028747558594,299.72650146484375,295.5322265625,286.9822692871094,64,0,7,10,11,4,3,-0.0524279270751946,0.0358165728061314,-0.0083140073428477,0.5369080205859149,-0.1080121175434967,0.1125960539270693,0.256293678063361,2.0,1.0
2016,-1.1595697579821405,2,284.9338073730469,293.6199951171875,297.5616455078125,298.0601806640625,299.5768127441406,293.2313232421875,284.9162902832031,57,0,7,23,19,4,2,0.1130057635633297,-0.0396601839511452,0.1700683331496977,0.5471866305560539,0.3904927802648775,0.4512955861865508,0.5123518391347275,2.0,1.0
2017,0.7445020269312579,2,284.73126220703125,292.02032470703125,296.1463928222656,302.185791015625,299.11785888671875,293.7977294921875,285.84844970703125,68,0,10,14,9,6,3,0.1325017160954366,-0.2345592575488345,-0.1105671877605434,0.073247639062587,-0.0830405299256362,0.2886681254272172,-0.00175882573306,2.0,1.0
2018,-0.1305358612127634,2,280.39190673828125,296.1689147949219,297.7159118652344,299.402099609375,301.9239501953125,290.41143798828125,281.904296875,73,9,11,14,6,8,10,-0.2241019137102401,-0.2807312210986385,0.3576450456196255,0.1412597533246234,-0.2056469562314706,0.5771311461582082,0.2359916434966776,2.0,1.0
2019,-0.47699260833611845,2,285.3627014160156,291.141845703125,297.30657958984375,300.2259216308594,298.5153503417969,291.85205078125,280.7123107910156,60,3,8,18,18,5,3,0.2411276225864496,-0.3461960229900001,0.1578413719146584,0.0336493523953989,0.4229492944961905,0.9595546208744096,0.4215931617716519,2.0,1.0
2020,5.435131785561154,2,282.1337585449219,291.2585754394531,298.7881164550781,299.9863586425781,301.82354736328125,294.9344787597656,281.5346984863281,77,12,11,9,7,9,11,0.0996888152468735,-0.2280012590732212,-0.1021954184890108,0.3225991284705601,-0.1764154651229351,0.0293901681130324,0.2812987270094324,2.0,1.0
2021,-6.497039557966772,2,285.2823791503906,291.4568786621094,300.12872314453125,303.735107421875,300.5151062011719,297.9504699707031,288.5508117675781,95,2,16,11,7,8,2,-0.0874804918167457,-0.0865575974887873,-0.2461968985676965,-0.1132300055584163,0.190273901365605,-0.0847045282599362,0.0435749752324841,2.0,1.0
2022,1.1321336416458223,2,277.58184814453125,290.2821044921875,296.6646423339844,299.9642639160156,301.2425231933594,297.51263427734375,286.7821044921875,72,7,12,10,14,5,5,0.4670068858253123,0.3535197535374515,-0.2169141507174532,0.3569292277213741,0.0913162925049491,-0.2171310750514911,-0.0057756902195042,2.0,1.0
1990,-4.254749135620116,3,284.9343566894531,290.40234375,296.6128845214844,299.00762939453125,300.5217590332031,296.6781005859375,285.86065673828125,71,0,7,12,10,6,5,-0.0202736797475221,0.1443756615902928,0.2430728216289223,0.2953369960865163,0.1790472816736519,0.1901575942246571,-0.0562968344733813,3.0,2.0
1991,0.6560424368068034,3,287.4629211425781,291.8049011230469,296.6007080078125,297.9502868652344,299.90106201171875,292.49005126953125,282.38079833984375,54,4,6,13,14,6,4,0.3699123969616041,0.380522844370827,0.2634090455170464,0.2610266502256028,0.2664315400449366,0.3939293771772761,0.2456036343520569,3.0,2.0
1992,6.309972039060074,3,284.05908203125,293.7441711425781,295.4503479003906,294.38311767578125,297.11480712890625,292.2160949707031,285.2174072265625,38,3,7,11,7,6,7,0.1627540568981688,0.1528703612003175,-0.172142501646919,0.4515862631270975,0.2582292227245091,0.14136895376295,-0.0504043580834551,3.0,2.0
